Param,Optimal Subsidy,Objective,Free rider,TotalMovement
0.5,0,172861051.5,806,806
1,150000,344943475.3,362,794
1.5,330000,466796412.4,186,797
2,450000,564607561.2,141,814
2.5,520000,644833683.5,124,827
3,560000,710847726.1,116,830
3.5,600000,766232937.9,102,846
4,610000,811986730.9,86,847
4.5,610000,852776608.9,75,843
5,610000,888540622.6,63,841
5.5,610000,918437971.5,48,841
6,610000,944051081.7,32,838
6.5,610000,964923352.8,17,836
7,610000,985376040.5,7,835
7.5,610000,1002561524,2,832
8,610000,1018666066,1,832
