Obj,Free,Total,Subsidy,CutOff
1797645642,4277,6113,130000,0
1797645642,4277,6113,130000,0.1
1792575642,4238,6113,130000,0.2
1777625642,4123,6113,130000,0.3
1777625642,4123,6113,130000,0.4
1768521415,4054,6116,140000,0.5
1755221415,3959,6116,140000,0.6
1749901415,3921,6116,140000,0.7
1749901415,3921,6116,140000,0.8
1742901415,3871,6116,140000,0.9
1734081415,3808,6116,140000,1
1724981415,3743,6116,140000,1.1
1700500254,3574,6125,150000,1.2
1700500254,3574,6125,150000,1.3
1647850254,3223,6125,150000,1.4
1647850254,3223,6125,150000,1.5
1404847547,1788,6146,180000,1.6
1335606552,1412,6152,190000,1.7
1335606552,1412,6152,190000,1.8
1302364837,1249,6152,190000,1.9
1302364837,1249,6152,190000,2
1293905140,1197,6152,190000,2.1
1295385358,1142,6152,190000,2.2
1330619134,987,6161,200000,2.3
1357794617,914,6161,200000,2.4
1384072311,829,6167,210000,2.5
1384072311,829,6167,210000,2.6
1427468686,733,6166,210000,2.7
1517176382,506,6170,220000,2.8
1558860755,380,6168,230000,2.9
1558860755,380,6168,230000,3
1598744523,284,6163,230000,3.1
1617927294,220,6167,240000,3.2
1648739992,146,6165,250000,3.3
1669733663,99,6167,260000,3.4
1669733663,99,6167,260000,3.5
1692427398,67,6163,260000,3.6
1711030487,41,6161,270000,3.7
1731941021,8,6159,290000,3.8
1731941021,8,6159,290000,3.9
1749893461,0,6151,290000,4
1803350595,0,6132,310000,4.1
1803350595,0,6132,310000,4.2
1838474676,0,6063,310000,4.3
1838474676,0,6063,310000,4.4
1850423140,0,5995,0,4.5
1850423140,0,5995,0,4.6
