idx,lat,long,alt,impValue,valYear,stories,zipCode,squareFeet,mktValue,className,disRate,selfMoveYear,motMoveYear,selfMoveFlag,motiMoveFlag,freeRiderFlag,movedOutFlag,property,cumuLoss
1062,29.280942,-94.87049,2.7,102260,2018,1,77554,9365,139650,L,0.18,200,34,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1063,29.276911,-94.837567,2.5,73580,2018,1,77551,6970,90380,L,0.18,200,35,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1064,29.195578,-94.986755,1.3,188850,2018,1,77554,4792,306380,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1065,29.2827,-94.817582,2.9,132370,2018,1,77551,5968,157130,M,0.12,26,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1066,29.294797,-94.800491,2.2,170090,2018,1,77550,12415,208990,M,0.12,2,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1067,29.288335,-94.821426,2.9,53910,2018,1,77551,823,57170,L,0.18,200,49,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1068,29.135147,-95.053397,4,180400,2018,1,77554,5009,216590,M,0.12,41,24,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1069,29.29562,-94.781118,1.4,110640,2018,1,77550,5140,215130,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1070,29.284413,-94.802183,2.2,140920,2018,1,77550,5140,160000,M,0.12,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1071,29.295965,-94.917099,2.8,454860,2018,1,77554,5968,530000,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1072,29.291931,-94.818695,2.4,29450,2018,1,77551,2047,37840,L,0.18,200,44,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1073,29.286717,-94.820643,0.5,142530,2018,1,77551,4966,162280,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1074,29.29907,-94.784503,1.5,135560,2018,1,77550,5097,154630,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1075,29.307223,-94.781203,4.4,75700,2018,1,77550,5140,97670,L,0.18,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1076,29.271491,-94.820565,4.5,280900,2018,1,77551,8233,317200,M,0.12,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1077,29.286634,-94.838386,1.5,60450,2018,1,77551,5227,82770,L,0.18,23,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1078,29.290547,-94.807199,2.4,28390,2018,1,77550,1133,32540,L,0.18,200,44,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1079,29.286048,-94.795623,1.5,223610,2018,1,77550,5140,239830,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
