Obj,Free,Total,Subsidy,CutOff
1850423140,0,5995,0,0
1676473072,616,6083,200000,100000
1553356308,2470,6128,170000,200000
1715669804,3602,6121,150000,300000
1774748926,4068,6112,130000,400000
1790304116,4210,6113,130000,500000
1795716310,4259,6113,130000,600000
1797982040,4277,6113,130000,700000
1799075642,4288,6113,130000,800000
1799725642,4293,6113,130000,900000
1800245642,4297,6113,130000,1000000
1800245642,4297,6113,130000,1100000
1800505642,4299,6113,130000,1200000
1800635642,4300,6113,130000,1300000
1800635642,4300,6113,130000,1400000
1800765642,4301,6113,130000,1500000
1800895642,4302,6113,130000,1600000
1800895642,4302,6113,130000,1700000
1801025642,4303,6113,130000,1800000
1801025642,4303,6113,130000,1900000
1801155642,4304,6113,130000,2000000
