Experiment,Experiment parameter,Optimal subisdy,Objective,Free riders,Total movements
MidDiscount,0.07,180000,408232394.5,532,846
MidDiscount,0.075,180000,409750326.4,530,846
MidDiscount,0.08,180000,411575048.3,528,846
MidDiscount,0.085,180000,413631842.7,523,846
MidDiscount,0.09,180000,415829143.3,523,846
MidDiscount,0.095,200000,418059702,520,851
MidDiscount,0.1,200000,420729301.5,510,850
MidDiscount,0.105,200000,423182176.4,507,850
MidDiscount,0.11,200000,425709812.6,504,850
MidDiscount,0.115,200000,428930439.3,498,848
MidDiscount,0.12,200000,431416587.6,495,848
