Experiment,Optimal subisdy,Objective,Free riders,Total movements
Rcp2.6 ,810000,840272956,150,839
Rcp4.5,610000,784596588,374,843
Rcp8.5,60000,631391372,637,846
"m1(1/3,1/3,1/3)",490000,749726164,460,845
"m2(1/5,3/5,1/5)",550000,763195469,447,845
"m3(1/10,8/10,1/10)",590000,774149271,421,843
